title,year,country,director,genre,imdb_id
Мужчине живётся трудно. Фильм 47: Уважаемый господин Торадзиро Курума,1994,Япония,Ёдзи Ямада,комедия,tt0110748
Мэкки-Нож,1989,США,Менахем Голан,мюзикл,tt0097800
Мэй Ланьфан (фильм),2008,Китай,Чэнь Кайгэ,фильм-биография,tt0851532
Мэй (фильм),2002,USA,Лаки МакКи,"драма, фильм ужасов",tt0303361
На привязи у взлётной полосы,1988,СССР,Владимир Хмельницкий,драма,tt5745840
На прицеле ваш мозг,1985,СССР,"Феликс Соболев, Виктор Олендер","документальный, научно-популярный фильм",tt4555656
"Нападение на 13-й участок (фильм, 1976)",1976,США,Джон Карпентер,боевик,tt0074156
Нападение людей-кукол,1958,США,Берт Гордон,"научно-фантастический, фильм ужасов",tt0051381
Наш человек в Гаване (фильм),1959,Великобритания,Кэрол Рид,"комедия, драма, триллер",tt0054152
"Наш учитель английского (фильм, 2008)",2008,Южная Корея,Пак Гван Чхун,романтическая кинокомедия,tt1867121
Небесный мандат героя,2012,Вьетнам,Виктор Ву,"исторический, Фильм о боевых искусствах",tt2187149
Небесный меч,2014,США,Ган Хо Джанг,"приключения, боевик, фэнтези",tt2006753
Нежные воспоминания,1971,Великобритания,Тони Скотт,драма,tt0241687
Нежные кузины,1980,"Франция, ФРГ",Дэвид Хэмилтон,"Мелодрама, Драма, Эротика",tt0081614
Неотразимая Марта,2001,"Германия, Италия, Австрия, Швейцария",Сандра Неттельбек,"романтическая комедия, драма",tt0246772
Неотразимая Тамара,2010,Великобритания,Стивен Фрирз,романтическая комедия,tt1486190
Нефть (фильм),2007,США,Пол Томас Андерсон,"эпическая, драма",tt0469494
Нефтедобытчицы,1971,"Франция, Италия, Испания",Кристиан-Жак,"вестерн, комедия",tt0067637
Новые центурионы (фильм),1972,США,Ричард Флейшер,"криминальный фильм, драма",tt0068997
Новые сказки Шахерезады,1986,"СССР, Сирия",Тахир Сабиров,сказка,tt0093653
Ночь воспоминаний,2017,Республика Корея,Чан Хан Джун,психологический триллер,tt7057496
О’Хортен,2007,"Норвегия, Германия, Франция, Дания",Бент Хамер,"кинокомедия, драма",tt0962774
О. Джей: Сделано в Америке,2016,США,Эзра Эдельман,документальный фильм,tt5275892
Объятия змея,2015,"Колумбия, Венесуэла, Аргентина",Сиро Герра,драма,tt4285496
"Объятия вампира (фильм, 2013)",2013,Канада,Карл Бессай,"драма, ужасы, эротика",tt3148890
Одиноким предоставляется общежитие,1983,СССР,Самсон Самсонов,мелодрама,tt0174997
Одинокий цветок любви,2005,Китайская Республика,Цао Жуйюань,драма,tt0485656
Октагон (фильм),1980,США,Эрик Карсон,Боевик,tt0081259
Октагон: Боец vs Рестлер,2020,Великобритания,Джесси Кинонес,"экшн, спорт",tt5505992
Опасный бизнес,2018,США,Нэш Эдгертон,"боевик, комедия",tt3721964
"Опасный возраст (фильм, 1957)",1959,Канада,Сидни Дж. Фьюри,драма,tt0051517
Основные цвета (фильм),1998,"США, Великобритания, Германия, Франция, Япония, Португалия, Люксембург",Майк Николс,"комедия, драма",tt0119942
Основные принципы добра,2016,США,Роб Бёрнетт,комедийная драма,tt2452386
Ответный ход Бульдога Драммонда,1934,США,Рой Дель Рут,"детектив, комедия",tt0024932
Ответный ход,1981,СССР,Михаил Туманишвили,"боевик, приключения, военный фильм",tt0168111
"Отцы и дети (фильм, 1983)",1983,СССР,Вячеслав Никифоров,"экранизация, драма",tt0260641
"Отцы и дети (фильм, 1958)",1958,СССР,"Адольф Бергункер, Наталья Рашевская","драма, экранизация",tt0053817
Падающее небо,2002,Норвегия,Гуннар Викене,"драма, комедия",tt0339149
Падающая кошка,1894,Франция,Этьен-Жюль Маре,документальный,tt2049440
Парень-каратист 2,1986,США,Джон Эвилдсен,"боевик, семейный фильм, мелодрама",tt0091326
Пенная ванна (мультфильм),1981,Венгрия,Дьёрдь Коваснаи,музыкальный фильм,tt0079258
"Пенн и Теллер: Сделай так, чтоб тебя убили",1989,США,Артур Пенн,комедия,tt0098073
Пенелопа (фильм),2006,"Великобритания, США",Марк Палански,"романтическая, комедия, фэнтези",tt0472160
Переступая черту,1990,Великобритания,Дэвид Лиленд,драма,tt0099136
Перестрелка в Локандвале,2007,Индия,Апурва Лакхия,боевик,tt0811066
Пила 2,2005,США,Даррен Линн Боусман,фильм ужасов,tt0432348
Пила (короткометражный фильм),2003,Австралия,Джеймс Ван,фильм ужасов,tt0495241
Племянница фрау О,1974,ФРГ,Зиги Ротемунд,"мелодрама, эротика",tt0071754
Племя пещерного медведя (фильм),1986,США,Майкл Чэпмен,драма,tt0090848
Побег из Могадишо,2021,Республика Корея,Рю Сын Ван,"боевик, драма, военный, история",tt14810692
"Под покровом ночи (фильм, 1990)",1990,США,Нико Масторакис,фильм-триллер,tt0097573
Под покровом небес (фильм),1990,"Великобритания, Италия",Бернардо Бертолуччи,драма,tt0100594
"Под покровом ночи (фильм, 1977)",Нет данных,США,Дэн Кертис,фильм ужасов,tt0075917
"Поездка (фильм, 2002)",2002,США,Майлс Суэйн,"комедия, драма, мелодрама",tt0250067
Поездка в Америку,1988,США,Джон Лэндис,"приключения, комедия, мелодрама",tt0094898
Полицейская академия 2: Их первое задание,1985,США,Джерри Пэрис,Криминальная комедия,tt0089822
